Record Key	User Code	Link Code
01010100091N	ICE-CREAM-4 Гориз	8280120
01010100091O	LEATHER MELANGE-1	8280120
01010100091P	MAGNOLIA METALDECO	8280120
01010100091Q	MAGNOLIA SUPERMAT	8280120
01010100091R	MAGNOLIA Глянец	8280120
01010100091S	MARFIL PEARL EFFECT Глянец	8280120
01010100091T	MELANGE 1 Глянец	8280120
01010100091U	NEGRO SUPERMAT	8280120
01010100091V	NEGRO Глянец	8280120
01010100091W	OLIVO Глянец	8280120
01010100091X	OLIVO глянец Гориз	8280120
01010100091Y	OXID-01	8280120
01010100091Z	OXID-04	8280120
010101000920	TEXTIL DORADO Глянец	8280120
010101000921	TEXTIL PLATA Глянец	8280120
010101000922	Муратти-1	8280120
010101000923	Муратти-1 Гориз	8280120
010101000924	Муратти-2	8280120
010101000925	Муратти-2 Гориз	8280120
010101000926	Муратти-3	8280120
010101000927	Муратти-3 Гориз	8280120
010101000928	Муратти-4	8280120
010101000929	Муратти-4 Гориз	8280120
01010100092A	__	8280120
01010100092B	__	8280120
01010100092C	Бежевый Песок	8280120
01010100092D	Белый Альпийский	8280120
01010100092E	Белый Премиум	8280120
01010100092F	Коттон Бежевый	8280120
01010100092G	Нежный Черный	8280120
01010100092H	Оникс Серый	8280120
01010100092I	Светло-Серый	8280120
01010100092J	Серый Камень	8280120
01010100092K	Серый Пыльный	8280120
01010100092L	Серый Уголь	8280120
01010100092M	__	8280120
01010100092N	Бетон Чикаго Светло-Серый	8280120
01010100092O	Бетон Чикаго Темно-Серый	8280120
01010100092P	Дуб Бардолино Натуральный	8280120
01010100092Q	Дуб Галифакс Натуральный	8280120
01010100092R	Дуб Галифакс Табак	8280120
01010100092S	Камень Пьетра Гриджиа Черный	8280120
01010100092T	Сосна Пасадена	8280120
01010100092U	__	8280120
01010100092V	нет	8280120
01010100092W	__	
01010100092X	Черный	
01010100092Y	Серебро	
01010100092Z	Графит	
010101000930	Золото брашированное	
010101000931	Бронза	
010101000932	__	
010101000933	Кастомный цвет	8280120
010101000A	8880000	
010101000A0	Бежевый Песок	8280120
010101000A1	Белый Альпийский	8280120
010101000A2	Белый Премиум	8280120
010101000A3	Коттон Бежевый	8280120
010101000A4	Нежный Черный	8280120
010101000A5	Оникс Серый	8280120
010101000A6	Светло-Серый	8280120
010101000A7	Серый Камень	8280120
010101000A8	Серый Пыльный	8280120
010101000A9	Серый Уголь	8280120
010101000AA	Белый Базовый	8280120
010101000AB	Кастомный цвет	8280120
010101000B	8880000	
010101000B0	Без Ручек	8280120
010101000B1	Профиль GOLA Алюминий	8280120
010101000B2	Профиль GOLA Белый	8280120
010101000B3	Профиль GOLA Золото	8280120
010101000B4	Профиль GOLA Черный	8280120
010101000B5	Ручка С1 Алюминий	8280120
010101000B6	Ручка С1 Белый	8280120
010101000B7	Ручка С1 Золото	8280120
010101000B8	Ручка С1 Черный	8280120
010101000B9	Ручка С1 Шампань	8280120
010101000BA	Ручка текстура 5	8280120
010101000BB	Ручка текстура 6	8280120
010101000BC	Ручка текстура 7	8280120
010101000BD	Ручка текстура 8	8280120
010101000BE	Ручка текстура 9	8280120
010101000BF	Ручка текстура 10	8280120
010101000BG	TIP-ON белый	8280120
010101000BH	TIP-ON серый	8280120
010101000BI	TIP-ON черный	8280120
010101000C	8880000	
010101000C0	5	8280120
010101000C1	6	8280120
010101000C2	7	8280120
010101000C3	8	8280120
010101000C4	NONE	8280120
010101000D	8880000	
010101000D0	ДВП	8280120
010101000D1	Материал корпуса	8280120
010101000D2	ДСП	8280120
010101000D3	AGT	8280120
010101000D4	ALVIC	8280120
010101000D5	EGGER	8280120
010101000E	8880000	
010101000E00	Белый	8280120
010101000E01	Бежевый Песок	8280120
010101000E02	Белый Альпийский	8280120
010101000E03	Белый Премиум	8280120
010101000E04	Коттон Бежевый	8280120
010101000E05	Нежный Черный	8280120
010101000E06	Оникс Серый	8280120
010101000E07	Светло-Серый	8280120
010101000E08	Серый Камень	8280120
010101000E09	Серый Пыльный	8280120
010101000E0A	Серый Уголь	8280120
010101000E0B	__	8280120
010101000E0C	BITTER	8280120
010101000E0D	BREZEE BEIGE	8280120
010101000E0E	CLOUDY GREY	8280120
010101000E0F	DOLPHIN GREY	8280120
